"Category","Annual Mean","5-yr smooth"
"1901",2780.28,2689.56
"1902",2621.93,2746.08
"1903",2864.34,2798.85
"1904",2846.41,2844.07
"1905",2766.05,2878
"1906",2936.09,2896.87
"1907",2815.41,2897.8
"1908",2874.92,2884
"1909",3014.5,2861.24
"1910",3073.91,2835.27
"1911",2614.68,2811.84
"1912",2791.51,2796.35
"1913",2785.53,2789.64
"1914",2500.17,2789.5
"1915",2835.26,2793.65
"1916",3004.7,2799.83
"1917",3056.75,2805.8
"1918",2634.22,2809.96
"1919",2654.27,2811.45
"1920",2785.62,2809.38
"1921",2899.2,2802.93
"1922",2759.51,2791.24
"1923",2659.71,2775.35
"1924",2967.41,2759.39
"1925",2719.27,2747.78
"1926",2745.34,2744.95
"1927",2817.79,2755.32
"1928",2792.77,2780.62
"1929",2693.69,2815.3
"1930",2680.84,2852.56
"1931",2997.16,2885.6
"1932",2979.44,2907.63
"1933",2962.24,2913.49
"1934",2888.88,2905.48
"1935",2801.03,2888.04
"1936",2909.44,2865.59
"1937",2890.03,2842.57
"1938",2886.85,2823
"1939",2804.8,2807.68
"1940",2621.97,2795.92
"1941",2742.37,2787.01
"1942",2848.3,2780.24
"1943",2852.1,2774.99
"1944",2721.95,2772.18
"1945",2824.69,2773.81
"1946",2722.77,2781.95
"1947",2886.63,2798.64
"1948",2855.8,2825.83
"1949",2854.31,2862.15
"1950",2922.09,2902.28
"1951",2719.26,2940.69
"1952",3010.65,2971.85
"1953",2850.1,2990.23
"1954",3166.4,2992.89
"1955",3196.29,2981.72
"1956",2997.98,2959.17
"1957",2709.68,2927.66
"1958",2876.7,2889.63
"1959",2866.78,2847.79
"1960",2858.21,2805.72
"1961",2544.52,2767.18
"1962",3033.19,2735.9
"1963",2476.97,2715.65
"1964",3021.07,2709.33
"1965",2476.56,2715.59
"1966",2843.53,2731.69
"1967",2554.06,2754.87
"1968",2916.59,2782.38
"1969",2742.17,2811.46
"1970",3056.03,2839.29
"1971",2987.64,2863
"1972",2309.27,2879.71
"1973",3172.44,2886.56
"1974",2810.94,2880.91
"1975",3114.71,2864.18
"1976",2598.25,2841.21
"1977",2799.85,2816.95
"1978",3012.55,2796.34
"1979",2724.7,2784.25
"1980",2790.41,2782.48
"1981",2935.89,2788.73
"1982",2345.1,2800.43
"1983",2794.42,2815
"1984",3123.83,2829.86
"1985",2887.5,2842.36
"1986",2888.37,2849.72
"1987",2577.31,2849.13
"1988",3028.97,2837.77
"1989",2954.75,2812.84
"1990",2670.97,2774.03
"1991",2537.73,2729.89
"1992",2747.33,2690.87
"1993",2654.13,2667.46
"1994",2609,2670.12
"1995",3016.62,2706.4
"1996",2908.73,2766.53
"1997",2328.87,2834.36
"1998",2957.77,2893.74
"1999",2991.61,2928.5
"2000",3008.68,2924.46
"2001",2945.36,2887.89
"2002",2665.02,2837.32
"2003",2972.61,2791.43
"2004",2703.47,2768.9
"2005",2816.95,2787.49
"2006",2719.01,2845.73
"2007",2952.38,2923.98
"2008",3099.96,3001.89
"2009",2845.17,3059.12
"2010",3373.4,3075.59
"2011",2984.39,3045.76
"2012",2940.46,2985.83
"2013",2980.92,2913.75
"2014",2674.77,2847.48
"2015",2552.66,2804.96
"2016",3023.09,2797.36
"2017",3105.07,2819.6
"2018",2910.73,2864.23
"2019",2587.65,2923.77
"2020",3096.9,2990.78
